order_item_id,order_id,product_id,quantity,unit_price,line_total
1,ECOM000001,113,4,104.43,417.72
2,ECOM000001,306,1,166.21,166.21
3,ECOM000001,351,4,123.47,493.88
4,ECOM000002,379,3,68.57,205.71
5,ECOM000002,227,3,81.75,245.25
6,ECOM000002,348,3,195.01,585.03
7,ECOM000003,398,4,43.66,174.64
8,ECOM000003,400,2,132.33,264.66
9,ECOM000004,347,2,67.57,135.14
10,ECOM000004,259,4,108.35,433.4
11,ECOM000005,171,2,45.25,90.5
12,ECOM000005,363,1,35.42,35.42
13,ECOM000005,127,1,70.12,70.12
14,ECOM000006,83,3,163.87,491.61
15,ECOM000006,326,4,169.36,677.44
16,ECOM000006,499,4,15.52,62.08
17,ECOM000007,25,2,94.8,189.6
18,ECOM000007,134,2,97.51,195.02
19,ECOM000007,56,4,82.64,330.56
20,ECOM000008,118,4,89.95,359.8
21,ECOM000008,333,3,39.08,117.24
22,ECOM000008,316,3,44.76,134.28
23,ECOM000009,400,1,197.74,197.74
24,ECOM000009,457,4,113.51,454.04
25,ECOM000009,403,2,90.57,181.14
26,ECOM000010,68,1,197.15,197.15
27,ECOM000010,456,1,22.68,22.68
28,ECOM000011,145,3,104.76,314.28
29,ECOM000011,439,3,161.65,484.95
30,ECOM000011,301,4,15.96,63.84
31,ECOM000012,470,4,120.93,483.72
32,ECOM000012,390,1,91.7,91.7
33,ECOM000013,438,4,99.64,398.56
34,ECOM000013,305,2,88.36,176.72
35,ECOM000014,270,4,63.06,252.24
36,ECOM000014,149,3,73.78,221.34
37,ECOM000014,34,4,171.99,687.96
38,ECOM000015,204,1,195.23,195.23
39,ECOM000015,446,2,151.39,302.78
40,ECOM000016,73,1,47.75,47.75
41,ECOM000016,83,4,183.06,732.24
42,ECOM000016,417,1,89.52,89.52
43,ECOM000017,203,4,164.08,656.32
44,ECOM000017,132,2,172.39,344.78
45,ECOM000017,72,2,191.94,383.88
46,ECOM000018,306,4,102.19,408.76
47,ECOM000018,228,4,72.74,290.96
48,ECOM000018,271,4,52.62,210.48
49,ECOM000019,324,2,124.65,249.3
50,ECOM000019,241,1,27.9,27.9
51,ECOM000019,422,3,128.16,384.48
52,ECOM000020,322,4,165.08,660.32
53,ECOM000020,491,1,189.03,189.03
54,ECOM000021,327,4,109.41,437.64
55,ECOM000021,145,1,154.47,154.47
56,ECOM000021,347,2,113.83,227.66
57,ECOM000022,390,4,151.23,604.92
58,ECOM000022,472,4,111.97,447.88
59,ECOM000023,245,3,98.73,296.19
60,ECOM000023,214,3,28.77,86.31
61,ECOM000023,18,1,61.98,61.98
62,ECOM000024,215,4,118.05,472.2
63,ECOM000024,2,1,172.76,172.76
64,ECOM000024,426,3,159.24,477.72
65,ECOM000025,257,2,183.76,367.52
66,ECOM000025,251,4,87.63,350.52
67,ECOM000026,274,4,68.09,272.36
68,ECOM000026,422,2,127.6,255.2
69,ECOM000026,367,3,95.69,287.07
70,ECOM000027,301,4,54.55,218.2
71,ECOM000027,434,2,187.86,375.72
72,ECOM000027,77,4,171.97,687.88
73,ECOM000028,201,1,52.21,52.21
74,ECOM000028,131,3,35.58,106.74
75,ECOM000028,156,4,74.19,296.76
76,ECOM000029,252,4,132.39,529.56
77,ECOM000029,203,4,105.84,423.36
78,ECOM000029,369,4,142.45,569.8
79,ECOM000030,154,1,129.98,129.98
80,ECOM000030,265,3,198.96,596.88
81,ECOM000031,294,1,26.74,26.74
82,ECOM000031,297,4,63.74,254.96
83,ECOM000032,326,1,185.57,185.57
84,ECOM000032,273,1,104.19,104.19
85,ECOM000032,25,1,64.43,64.43
86,ECOM000033,301,2,75.34,150.68
87,ECOM000033,9,1,115.18,115.18
88,ECOM000034,436,4,139.18,556.72
89,ECOM000034,143,1,24.94,24.94
90,ECOM000034,350,1,148.06,148.06
91,ECOM000035,322,3,53.51,160.53
92,ECOM000035,246,3,86.71,260.13
93,ECOM000035,253,1,102.47,102.47
94,ECOM000036,174,4,128.53,514.12
95,ECOM000036,286,4,96.6,386.4
96,ECOM000036,156,2,93.48,186.96
97,ECOM000037,490,1,20.13,20.13
98,ECOM000037,421,3,154.03,462.09
99,ECOM000037,313,4,121.67,486.68
100,ECOM000038,291,1,174.9,174.9
101,ECOM000038,3,1,99.59,99.59
102,ECOM000038,358,4,23.26,93.04
103,ECOM000039,151,4,158.26,633.04
104,ECOM000039,14,3,51.43,154.29
105,ECOM000040,92,2,173.15,346.3
106,ECOM000040,45,3,191.64,574.92
107,ECOM000040,335,3,102.19,306.57
108,ECOM000041,56,1,29.49,29.49
109,ECOM000041,35,4,61.09,244.36
110,ECOM000042,226,1,188.96,188.96
111,ECOM000042,322,3,87.91,263.73
112,ECOM000043,43,1,191.33,191.33
113,ECOM000043,436,1,151.98,151.98
114,ECOM000043,262,4,121.18,484.72
115,ECOM000044,46,4,147.87,591.48
116,ECOM000044,495,4,27.75,111.0
117,ECOM000044,170,1,49.94,49.94
118,ECOM000045,485,2,195.86,391.72
119,ECOM000045,69,2,175.63,351.26
120,ECOM000045,97,1,170.05,170.05
121,ECOM000046,256,3,63.21,189.63
122,ECOM000046,459,1,112.32,112.32
123,ECOM000047,470,2,42.39,84.78
124,ECOM000047,230,3,192.45,577.35
125,ECOM000048,39,2,169.55,339.1
126,ECOM000048,178,1,53.86,53.86
127,ECOM000048,157,1,71.84,71.84
128,ECOM000049,234,4,48.82,195.28
129,ECOM000049,231,2,35.03,70.06
130,ECOM000049,434,4,112.55,450.20
131,ECOM000050,293,3,75.04,225.12
132,ECOM000050,315,1,155.46,155.46
133,ECOM000050,268,1,83.51,83.51
134,ECOM000051,453,4,120.51,482.04
135,ECOM000051,62,4,16.95,67.8
136,ECOM000051,186,1,173.32,173.32
137,ECOM000052,272,4,37.01,148.04
138,ECOM000052,112,2,122.01,244.02
139,ECOM000052,9,1,31.12,31.12
140,ECOM000053,342,4,64.45,257.8
141,ECOM000053,120,4,49.62,198.48
142,ECOM000053,105,4,75.46,301.84
143,ECOM000054,143,1,111.77,111.77
144,ECOM000054,2,4,88.03,352.12
145,ECOM000055,103,3,177.86,533.58
146,ECOM000055,134,2,91.81,183.62
147,ECOM000055,419,2,124.92,249.84
148,ECOM000056,145,1,157.55,157.55
149,ECOM000056,282,4,192.95,771.8
150,ECOM000057,467,2,89.69,179.38
151,ECOM000057,283,1,138.55,138.55
152,ECOM000057,319,3,89.71,269.13
153,ECOM000058,330,4,127.06,508.24
154,ECOM000058,43,2,76.87,153.74
155,ECOM000058,152,2,132.52,265.04
156,ECOM000059,171,4,171.07,684.28
