order_id,customer_id,order_timestamp,order_status,channel,shipping_cost,total_amount,discount_amount,device_type,traffic_source
ECOM000001,CUST00949,2024-12-09 10:55:00,cancelled,WEB,10.95,,,Tablet,Facebook
ECOM000002,CUST10666,2024/04/30 05:45 AM,completed,WEB,1.88,385.1,46.18,Mobile,Google
ECOM000003,CUST01119,2024-05-03 04:47:00,pending,WEB,16.55,36.71,6.61,Mobile,Instagram
ECOM000004,CUST08508,2024/09/10 09:11 AM,complete,MARKETPLACE,3.7,300.04,43.88,Desktop,Facebook
ECOM000005,CUST02943,12-03-2024 00:04,cancelled,MOBILE_APP,12.98,320.94,7.73,desktop,Instagram
ECOM000006,CUST01870,18-07-2024 06:43,Cancelled,WEB,17.89,277.48,54.74,desktop,Referral
ECOM000007,CUST05958,2024/05/29 04:35 PM,completed,MOBILE_APP,8.4,213.61,8.8,Mobile,Google
ECOM000008,CUST09334,11/18/2024 13:04,Completed,MARKETPLACE,2.7,,,Tablet,Instagram
ECOM000009,CUST03622,01/31/2024 04:33,completed,MARKETPLACE,1.84,41.71,5.04,mobile,Facebook
ECOM000010,CUST02902,2024/03/03 08:15 PM,COMPLETE,MOBILE_APP,11.59,,,desktop,Direct
ECOM000011,CUST07648,2024-10-16 08:27:00,COMPLETE,MOBILE_APP,3.55,178.31,4.63,desktop,Instagram
ECOM000012,CUST00872,2024/04/17 01:30 AM,PENDING,MOBILE_APP,13.03,380.32,73.53,mobile,Referral
ECOM000013,CUST05782,2024/05/11 08:49 PM,Complete,MOBILE_APP,15.53,136.75,18.82,MOBILE,Google
ECOM000014,CUST07309,2024/04/16 10:16 AM,pending,WEB,19.17,215.77,15.83,mobile,Facebook
ECOM000015,CUST06371,2024/02/02 12:48 PM,Cancelled,MARKETPLACE,18.75,,,MOBILE,Google
ECOM000016,CUST11283,02/02/2024 13:50,complete,WEB,3.77,380.64,70.15,desktop,Direct
ECOM000017,CUST03583,08-09-2024 18:58,pending,WEB,3.34,,,Tablet,Direct
ECOM000018,CUST04384,03-07-2024 12:21,COMPLETE,MOBILE_APP,0.92,,,mobile,Referral
ECOM000019,CUST09999,01-09-2024 23:40,pending,WEB,17.81,111.22,18.78,desktop,Facebook
