transaction_id,product_id,quantity,unit_price,line_total
POS000001,433,5,40.42,202.1
POS000001,284,3,106.5,319.5
POS000001,313,5,55.49,277.45
POS000002,84,2,58.22,116.44
POS000002,492,5,56.53,282.65
POS000002,128,4,40.21,160.84
POS000003,499,4,25.73,102.92
POS000003,355,3,76.96,230.88
POS000003,170,5,22.41,112.05
POS000003,406,3,76.7,230.1
POS000004,219,3,76.63,229.89
POS000004,57,5,130.38,651.9
POS000004,176,3,91.58,274.74
POS000005,4,2,38.61,77.22
POS000005,73,2,57.31,114.62
POS000006,164,3,53.45,160.35
POS000006,114,2,148.84,297.68
POS000006,396,5,113.6,568.0
POS000006,311,3,64.99,194.97
POS000007,330,3,130.24,390.72
POS000007,276,3.0,75.0,225.0
POS000008,335,1,20.59,20.59
POS000008,487,3,45.3,135.9
POS000008,255,4,58.29,233.16
POS000009,439,3,48.37,145.11
POS000009,389,4,86.79,347.16
POS000009,241,5,40.37,201.85
POS000010,198,1,95.81,95.81
POS000010,255,2,132.2,264.4
POS000011,379,4,53.15,212.6
POS000011,411,5,146.28,731.4
POS000011,361,2,112.14,224.28
POS000011,20,1,127.46,127.46
POS000012,481,1,24.71,24.71
POS000012,448,2,95.35,190.7
POS000012,61,5,145.84,729.2
POS000013,410,1,41.63,41.63
POS000013,419,2,126.2,252.4
POS000013,191,3,72.43,217.29
POS000014,35,3,146.92,440.76
POS000014,42,2,93.03,186.06
POS000014,375,3,117.8,353.4
POS000015,406,4,142.12,568.48
POS000015,377,2,121.67,243.34
POS000016,423,5,110.78,553.9
POS000016,107,5,114.19,570.95
POS000017,371,5,32.45,162.25
POS000017,495,3,82.92,248.76
POS000018,407,4,111.19,444.76
POS000018,184,5,135.59,677.95
POS000018,39,1,57.34,57.34
POS000019,145,4,100.01,400.04
POS000019,390,1,87.65,87.65
POS000020,174,5,15.85,79.25
POS000020,15,3,51.63,154.89
POS000020,98,5,96.39,481.95
POS000021,408,4,28.76,115.04
POS000021,190,3,64.56,193.68
POS000021,210,1,37.16,37.16
POS000022,43,3,146.98,440.94
POS000022,122,4,89.88,359.52
POS000022,97,4,55.77,223.08
POS000022,195,4,95.32,381.28
POS000023,72,5,29.37,146.85
POS000023,334,3,124.88,374.64
POS000023,308,4,138.44,553.76
POS000024,4,1,32.32,32.32
POS000024,115,4,79.86,319.44
POS000024,72,3,67.55,202.65
POS000025,481,2,41.18,82.36
POS000025,94,2,15.33,30.66
POS000025,252,5,31.73,158.65
POS000026,496,3,20.98,62.94
POS000026,332,4,51.91,207.64
POS000027,108,1.0,96.33,96.33
POS000027,404,2,25.82,51.64
POS000027,277,3,76.07,228.21
POS000028,423,4,80.3,321.2
POS000028,156,3,138.15,414.45
POS000029,460,4,53.44,213.76
POS000029,314,4,124.8,499.2
POS000029,21,2,100.29,200.58
POS000030,466,2,16.61,33.22
POS000030,327,4,120.96,483.84
POS000030,47,4,110.7,442.8
