transaction_id,store_id,transaction_timestamp,cashier_id,customer_id,payment_method,total_amount,discount_amount,tax_amount
POS000001,24,2024-12-30 18:53:31,C0238,,CREDIT,671.0,190.73,62.68
POS000002,27,2024-08-15 05:19:25,C0351,CUST06209,Cash,519.67,67.17,26.91
POS000003,16,26/11/2024 21:03,C0455,CUST00004,credit,723.33,14.01,61.39
POS000004,22,03-17-2024 02:34 PM,C0229,,Cash,1194.29,63.86,101.62
POS000005,10,10-18-2024 09:19 PM,C0469,,CREDIT,193.45,19.99,21.6
POS000006,19,05/01/2024 19:32,C0032,,Mobile Pay,1029.77,284.7,93.47
POS000007,2,2024/01/01 22:35,C0145,CUST03855,CASH,517.68,141.85,43.81
POS000008,23,10-29-2024 12:40 PM,C0223,CUST02842,Gift Card,323.79,95.77,29.91
POS000009,5,2024/04/06 17:24,C0079,,credit,707.34,63.28,76.5
POS000010,5,06/01/2024 02:41,C0250,CUST02225,CREDIT,378.67,9.64,28.1
POS000011,5,2024-11-24,C0320,,Mobile Pay,1366.98,7.27,78.51
POS000012,14,09/10/2024 14:24,C0310,,Gift Card,988.19,13.86,57.44
POS000013,28,05-01-2024 10:32 PM,C0296,,Credit,427.57,118.93,35.18
POS000014,19,2024-09-04,C0354,,Mobile Pay,913.05,133.9,66.73
POS000015,28,2024-05-23,C0046,,CREDIT,736.69,156.4,81.27
POS000016,22,2024/11/20 17:51,C0463,,Credit,1117.59,107.04,99.78
POS000017,16,2024-08-20,C0216,,DEBIT,411.32,32.61,32.92
POS000018,10,2024-03-26,C0373,CUST04268,Credit,1265.79,57.3,143.04
POS000019,21,2024-08-30 18:10:36,C0150,CUST00448,DEBIT,518.62,26.4,57.33
POS000020,16,2024/02/12 04:32,C0316,,DEBIT,709.09,88.27,81.27
POS000021,1,2024-02-27,C0338,CUST02874,DEBIT,322.74,41.83,18.69
POS000022,26,2024-12-24,C0176,CUST02377,credit,1293.53,252.54,141.25
