return_id,original_transaction_or_order_id,product_id,return_date,return_reason,refund_amount,quantity_returned,return_channel
RET000001,POS024522,244,10-13-2024,Changed mind,198.76,1,pos
RET000002,ECOM006900,489,09/09/2024,,48.55,2,pos
RET000003,POS024167,202,2024-04-17,Late delivery,49.43,3,POS
RET000004,ECOM014862,138,08-20-2024,Size issue,15.79,2,ECOM
RET000005,ECOM009347,282,24/12/2024,Size issue,163.81,2,pos
RET000006,POS005634,179,08-29-2024,Defective,41.0,2,pos
RET000007,POS022447,108,25/06/2024,Defective,199.08,2,ECOM
RET000008,ECOM004044,94,02/10/2024,Damaged,173.16,2,ecom
RET000009,POS006766,34,07-05-2024,Damaged,48.36,2,ecom
RET000010,POS003589,106,2024-11-02,N/A,94.01,1,pos
RET000011,POS029244,178,06-09-2024,Defective,116.43,2,POS
RET000012,POS024291,198,11-08-2024,Late delivery,45.87,3,ecom
RET000013,ECOM003347,382,10-14-2024,Defective,175.09,1,pos
RET000014,POS010245,468,2024-03-23,Late delivery,49.6,3,POS
RET000015,ECOM002345,349,26/06/2024,Damaged,152.6,3,pos
RET000016,ECOM001620,334,05/03/2024,Defective,96.95,3,ecom
RET000017,POS009975,438,,Damaged,78.96,3,ECOM
RET000018,POS022767,460,2024-08-06,Changed mind,18.76,1,ECOM
RET000019,POS028598,214,2024-11-10,Size issue,108.06,3,POS
RET000020,POS017538,134,11-29-2024,Size issue,151.09,1,pos
RET000021,POS012262,77,2024-04-21,Size issue,28.15,1,POS
RET000022,ECOM009553,131,25/03/2024,Late delivery,111.38,1,pos
RET000023,POS015784,237,2024-11-16,Late delivery,91.14,2,pos
RET000024,POS024957,223,06-18-2024,Damaged,88.04,2,POS
RET000025,POS022122,66,11-15-2024,Changed mind,101.78,2,ECOM
RET000026,POS027730,383,03-05-2024,Size issue,100.64,2,ecom
RET000027,POS011483,421,2024-01-25,Late delivery,124.85,3,ecom
RET000028,POS015893,319,01/07/2024,Damaged,29.52,1,pos
RET000029,ECOM009396,180,2024-10-18,Damaged,88.93,1,POS
RET000030,POS025317,371,21/11/2024,Defective,141.45,2,pos
RET000031,ECOM001019,423,07-18-2024,Changed mind,55.52,3,POS
RET000032,POS018803,347,2024-09-12,Changed mind,63.73,2,pos
RET000033,POS020506,323,2024-10-14,Changed mind,20.54,2,POS
RET000034,POS005248,378,2024-07-13,Changed mind,146.48,2,ecom
RET000035,POS026139,107,16/09/2024,Late delivery,109.69,2,pos
RET000036,POS004959,213,2024-10-07,Size issue,131.38,3,pos
RET000037,POS017921,343,08-31-2024,Late delivery,56.25,2,pos
RET000038,POS015122,238,2024-10-09,Changed mind,117.48,3,ecom
RET000039,ECOM013746,135,06-17-2024,Changed mind,98.4,2,pos
RET000040,ECOM009913,274,2024-07-05,Late delivery,198.55,3,ECOM
RET000041,POS023013,113,2024-01-04,Late delivery,54.75,2,pos
RET000042,POS018915,303,09/02/2024,Size issue,189.67,2,ECOM
RET000043,ECOM007166,359,2024-04-14,Damaged,170.54,2,ecom
RET000044,POS008249,304,2024-06-20,Size issue,44.68,2,POS
RET000045,POS019421,195,07-21-2024,Late delivery,154.83,2,POS
RET000046,ECOM013425,394,2024-11-13,Late delivery,136.91,2,ecom
RET000047,ECOM001134,463,12-09-2024,Size issue,162.92,1,pos
RET000048,ECOM006058,327,2024-06-02,Defective,152.44,3,ECOM
RET000049,ECOM013254,219,2024-06-23,Defective,63.84,3,POS
RET000050,ECOM006399,340,06-09-2024,Damaged,147.32,3,POS
RET000051,POS024367,197,06/09/2024,???,80.01,1,POS
RET000052,ECOM010711,262,01-13-2024,Size issue,18.86,1,ecom
RET000053,POS008069,331,15/01/2024,Changed mind,181.37,2,ECOM
RET000054,ECOM014867,413,15/03/2024,Damaged,182.12,2,pos
RET000055,POS015996,337,2024-05-05,Damaged,77.43,3,POS
RET000056,POS029136,37,2024-09-22,Size issue,106.82,1,pos
RET000057,POS018423,450,2024-12-30,Defective,77.4,2,pos
RET000058,ECOM007782,247,2024-05-12,N/A,187.54,1,ECOM
RET000059,POS003019,272,2024-05-28,Damaged,117.92,2,pos
RET000060,POS029867,247,,Changed mind,19.91,3,ECOM
RET000061,POS011019,110,2024-08-28,Damaged,36.0,3,ECOM
RET000062,POS000057,126,2024-04-14,Defective,46.81,2,ECOM
RET000063,POS025753,4,2024-08-01,Changed mind,193.88,2,POS
RET000064,ECOM003014,395,2024-02-13,Late delivery,154.22,1,pos
RET000065,POS028237,109,02-08-2024,Defective,136.9,3,ECOM
RET000066,POS023628,208,18/05/2024,Late delivery,86.63,1,pos
RET000067,POS026323,335,20/01/2024,Defective,24.37,2,ecom
RET000068,ECOM004666,219,2024-01-04,Changed mind,132.76,2,POS
RET000069,ECOM002730,76,05/12/2024,asdf123,106.21,2,ECOM
RET000070,ECOM014137,500,05-12-2024,Changed mind,162.71,1,POS
RET000071,POS010331,87,2024-07-18,Damaged,89.64,1,POS
RET000072,POS014788,395,02-02-2024,Late delivery,179.29,2,POS
RET000073,POS008328,199,23/09/2024,Defective,86.76,3,POS
RET000074,POS013922,201,26/03/2024,lorem ipsum,177.22,3,POS
RET000075,POS019155,40,21/12/2024,Changed mind,172.65,2,pos
RET000076,POS023782,110,01-29-2024,Damaged,84.82,1,ecom
RET000077,POS012707,155,2024-11-07,Size issue,26.06,3,pos
