date_sk,full_date,year_num,quarter_num,month_num,month_name,day_num,day_name,is_weekend,load_timestamp
20180101,2018-01-01,2018,1,1,January,1,Monday,0,2025-12-17 00:00:14
20180102,2018-01-02,2018,1,1,January,2,Tuesday,0,2025-12-17 00:00:14
20180103,2018-01-03,2018,1,1,January,3,Wednesday,0,2025-12-17 00:00:14
20180104,2018-01-04,2018,1,1,January,4,Thursday,0,2025-12-17 00:00:14
20180105,2018-01-05,2018,1,1,January,5,Friday,0,2025-12-17 00:00:14
20180106,2018-01-06,2018,1,1,January,6,Saturday,1,2025-12-17 00:00:14
20180107,2018-01-07,2018,1,1,January,7,Sunday,1,2025-12-17 00:00:14
20180108,2018-01-08,2018,1,1,January,8,Monday,0,2025-12-17 00:00:14
20180109,2018-01-09,2018,1,1,January,9,Tuesday,0,2025-12-17 00:00:14
20180110,2018-01-10,2018,1,1,January,10,Wednesday,0,2025-12-17 00:00:14
20180111,2018-01-11,2018,1,1,January,11,Thursday,0,2025-12-17 00:00:14
20180112,2018-01-12,2018,1,1,January,12,Friday,0,2025-12-17 00:00:14
20180113,2018-01-13,2018,1,1,January,13,Saturday,1,2025-12-17 00:00:14
20180114,2018-01-14,2018,1,1,January,14,Sunday,1,2025-12-17 00:00:14
20180115,2018-01-15,2018,1,1,January,15,Monday,0,2025-12-17 00:00:14
20180116,2018-01-16,2018,1,1,January,16,Tuesday,0,2025-12-17 00:00:14
20180117,2018-01-17,2018,1,1,January,17,Wednesday,0,2025-12-17 00:00:14
20180118,2018-01-18,2018,1,1,January,18,Thursday,0,2025-12-17 00:00:14
20180119,2018-01-19,2018,1,1,January,19,Friday,0,2025-12-17 00:00:14
20180120,2018-01-20,2018,1,1,January,20,Saturday,1,2025-12-17 00:00:14
