inventory_sk,product_sk,store_sk,date_sk,beginning_inventory,ending_inventory,inventory_value,safety_stock,stock_status,load_timestamp,source_file
1,334,1,20240601,83,98,5848.14,NULL,In-Stock,2025-12-16 22:34:23,inventory_raw.csv
2,25,1,20240106,187,211,26522.25,NULL,In-Stock,2025-12-16 22:34:23,inventory_raw.csv
3,115,1,20240601,42,58,5073.13,NULL,In-Stock,2025-12-16 22:34:23,inventory_raw.csv
4,76,1,20240601,1,NULL,NULL,NULL,Error,2025-12-16 22:34:23,inventory_raw.csv
5,492,1,20240106,102,108,6403.19,NULL,In-Stock,2025-12-16 22:34:23,inventory_raw.csv
6,192,1,20240106,152,186,4124.63,NULL,In-Stock,2025-12-16 22:34:23,inventory_raw.csv
7,88,1,20240601,27,7,98.84,NULL,Low-Stock,2025-12-16 22:34:23,inventory_raw.csv
8,416,1,20240106,46,34,4572.63,NULL,In-Stock,2025-12-16 22:34:23,inventory_raw.csv
9,107,1,20240106,118,124,8295.33,NULL,In-Stock,2025-12-16 22:34:23,inventory_raw.csv
10,256,1,20240106,35,58,8658.49,NULL,In-Stock,2025-12-16 22:34:23,inventory_raw.csv
11,118,1,20240601,32,55,3165.87,NULL,In-Stock,2025-12-16 22:34:23,inventory_raw.csv
12,120,1,20240601,57,76,3164.34,NULL,In-Stock,2025-12-16 22:34:23,inventory_raw.csv
13,360,1,20240106,169,171,12698.23,NULL,In-Stock,2025-12-16 22:34:23,inventory_raw.csv
14,71,1,20240601,200,212,25221.11,NULL,In-Stock,2025-12-16 22:34:23,inventory_raw.csv
15,156,1,20240106,92,86,1945.76,NULL,In-Stock,2025-12-16 22:34:23,inventory_raw.csv
16,197,1,20240106,60,42,719.07,NULL,In-Stock,2025-12-16 22:34:23,inventory_raw.csv
17,281,1,20240601,11,NULL,NULL,NULL,Error,2025-12-16 22:34:23,inventory_raw.csv
18,378,1,20240601,37,40,4807.93,NULL,In-Stock,2025-12-16 22:34:23,inventory_raw.csv
19,16,1,20240106,89,122,10734.1,NULL,In-Stock,2025-12-16 22:34:23,inventory_raw.csv
20,368,1,20240601,94,100,12364.89,NULL,In-Stock,2025-12-16 22:34:23,inventory_raw.csv
21,288,1,20240106,46,28,1654.34,NULL,In-Stock,2025-12-16 22:34:23,inventory_raw.csv
22,336,1,20240601,109,91,11958.35,NULL,In-Stock,2025-12-16 22:34:23,inventory_raw.csv
23,338,1,20240106,10,49,2948.68,NULL,In-Stock,2025-12-16 22:34:23,inventory_raw.csv
24,195,1,20240106,93,107,4239.81,NULL,In-Stock,2025-12-16 22:34:23,inventory_raw.csv
25,432,1,20240601,104,100,5094.74,NULL,In-Stock,2025-12-16 22:34:23,inventory_raw.csv
26,499,1,20240106,182,179,8895.7,NULL,In-Stock,2025-12-16 22:34:23,inventory_raw.csv
27,449,1,20240106,161,174,17624.77,NULL,In-Stock,2025-12-16 22:34:23,inventory_raw.csv
28,292,1,20240106,196,193,2532.1,NULL,In-Stock,2025-12-16 22:34:23,inventory_raw.csv
29,383,1,20240601,123,139,4381.74,NULL,In-Stock,2025-12-16 22:34:23,inventory_raw.csv
30,98,1,20240601,5,43,4477.54,NULL,In-Stock,2025-12-16 22:34:23,inventory_raw.csv
31,46,1,20240106,28,23,1119.43,NULL,In-Stock,2025-12-16 22:34:23,inventory_raw.csv
32,92,1,20240601,27,10,773.32,NULL,Low-Stock,2025-12-16 22:34:23,inventory_raw.csv
33,295,1,20240106,15,1,31.07,NULL,Low-Stock,2025-12-16 22:34:23,inventory_raw.csv
34,262,1,20240601,NULL,5,179.26,NULL,Low-Stock,2025-12-16 22:34:23,inventory_raw.csv
35,217,1,20240601,71,100,8487.39,NULL,In-Stock,2025-12-16 22:34:23,inventory_raw.csv
36,355,1,20240601,0,28,1090.08,NULL,In-Stock,2025-12-16 22:34:23,inventory_raw.csv
37,482,1,20240601,109,134,12562.23,NULL,In-Stock,2025-12-16 22:34:23,inventory_raw.csv
38,33,1,20240601,76,74,9486.71,NULL,In-Stock,2025-12-16 22:34:23,inventory_raw.csv
39,465,1,20240106,115,139,6560.09,NULL,In-Stock,2025-12-16 22:34:23,inventory_raw.csv
40,264,1,20240601,114,145,12710.66,NULL,In-Stock,2025-12-16 22:34:23,inventory_raw.csv
