pos_transaction_sk,transaction_id,store_sk,date_sk,cashier_id,payment_method,total_amount,discount_amount,tax_amount,net_revenue,load_timestamp,source_file
1,POS000001,23,20241230,C0238,Credit Card,671,190.73,62.68,542.95,2025-12-16 22:33,pos_transactions_raw.csv
2,POS000002,26,20240815,C0351,Cash,519.67,67.17,26.91,479.41,2025-12-16 22:33,pos_transactions_raw.csv
3,POS000004,21,20240317,C0229,Cash,1194.29,63.86,101.62,1232.05,2025-12-16 22:33,pos_transactions_raw.csv
4,POS000005,10,20241018,C0469,Credit Card,193.45,19.99,21.6,195.06,2025-12-16 22:33,pos_transactions_raw.csv
5,POS000007,2,20240101,C0145,Cash,517.68,141.85,43.81,419.64,2025-12-16 22:33,pos_transactions_raw.csv
6,POS000008,22,20241029,C0223,Gift Card,323.79,95.77,29.91,257.93,2025-12-16 22:33,pos_transactions_raw.csv
7,POS000009,5,20240406,C0079,Credit Card,707.34,63.28,76.5,720.56,2025-12-16 22:33,pos_transactions_raw.csv
8,POS000010,5,20240601,C0250,Credit Card,378.67,9.64,28.1,397.13,2025-12-16 22:33,pos_transactions_raw.csv
9,POS000011,5,20241124,C0320,Mobile Pay,1366.98,7.27,78.51,1438.22,2025-12-16 22:33,pos_transactions_raw.csv
10,POS000012,14,20240910,C0310,Gift Card,988.19,13.86,57.44,1031.77,2025-12-16 22:33,pos_transactions_raw.csv
11,POS000013,27,20240501,C0296,Credit Card,427.57,118.93,35.18,343.82,2025-12-16 22:33,pos_transactions_raw.csv
12,POS000015,27,20240523,C0046,Credit Card,736.69,156.4,81.27,661.56,2025-12-16 22:33,pos_transactions_raw.csv
13,POS000016,21,20241120,C0463,Credit Card,1117.59,107.04,99.78,1110.33,2025-12-16 22:33,pos_transactions_raw.csv
14,POS000017,16,20240820,C0216,Debit,411.32,32.61,32.92,411.63,2025-12-16 22:33,pos_transactions_raw.csv
15,POS000018,10,20240326,C0373,Credit Card,1265.79,57.3,143.04,1351.53,2025-12-16 22:33,pos_transactions_raw.csv
16,POS000019,20,20240830,C0150,Debit,518.62,26.4,57.33,549.55,2025-12-16 22:33,pos_transactions_raw.csv
17,POS000020,16,20240212,C0316,Debit,709.09,88.27,81.27,702.09,2025-12-16 22:33,pos_transactions_raw.csv
18,POS000021,1,20240227,C0338,Debit,322.74,41.83,18.69,299.6,2025-12-16 22:33,pos_transactions_raw.csv
19,POS000022,25,20241224,C0176,Credit Card,1293.53,252.54,141.25,1182.24,2025-12-16 22:33,pos_transactions_raw.csv
20,POS000023,26,20241009,C0372,Cash,963.32,186,74.07,851.39,2025-12-16 22:33,pos_transactions_raw.csv
21,POS000024,2,20241124,NULL,Debit,458.81,137.85,42.25,363.21,2025-12-16 22:33,pos_transactions_raw.csv
22,POS000025,16,20240929,C0075,Credit Card,259.33,27.28,14.94,246.99,2025-12-16 22:33,pos_transactions_raw.csv
23,POS000026,10,20240817,C0022,Mobile Pay,250.92,33.88,14.22,231.26,2025-12-16 22:33,pos_transactions_raw.csv
24,POS000027,20,20240630,C0137,Cash,381.57,34.28,39.67,386.96,2025-12-16 22:33,pos_transactions_raw.csv
25,POS000028,15,20241211,C0267,Credit Card,723.64,48.45,36.44,711.63,2025-12-16 22:33,pos_transactions_raw.csv
26,POS000029,11,20241007,NULL,Credit Card,981.31,1.01,68.78,1049.08,2025-12-16 22:33,pos_transactions_raw.csv
27,POS000030,21,20240816,C0018,Credit Card,1014.51,29.7,84.35,1069.16,2025-12-16 22:33,pos_transactions_raw.csv
28,POS000032,3,20241105,C0095,Debit,436.56,23.59,34.87,447.84,2025-12-16 22:33,pos_transactions_raw.csv
29,POS000033,10,20240827,C0142,Debit,1235.47,48.92,89.26,1275.81,2025-12-16 22:33,pos_transactions_raw.csv
30,POS000034,6,20240207,C0031,Debit,417.24,122.97,25.41,319.68,2025-12-16 22:33,pos_transactions_raw.csv
31,POS000036,18,20240808,C0367,Credit Card,1990.41,170.14,111.48,1931.75,2025-12-16 22:33,pos_transactions_raw.csv
32,POS000037,3,20240206,NULL,Credit Card,920.75,56.33,58.01,922.43,2025-12-16 22:33,pos_transactions_raw.csv
33,POS000038,21,20240718,C0295,Gift Card,97.6,20.12,9.77,87.25,2025-12-16 22:33,pos_transactions_raw.csv
34,POS000039,16,20240811,C0002,Gift Card,455.12,42.21,43.19,456.1,2025-12-16 22:33,pos_transactions_raw.csv
35,POS000040,4,20241017,C0206,Credit Card,796.58,211.8,58.77,643.55,2025-12-16 22:33,pos_transactions_raw.csv
36,POS000041,12,20240930,C0149,Mobile Pay,366.21,114.63,21.87,273.45,2025-12-16 22:33,pos_transactions_raw.csv
37,POS000042,2,20240715,C0323,Credit Card,736.53,165.26,80.75,652.02,2025-12-16 22:33,pos_transactions_raw.csv
38,POS000044,16,20240718,C0495,Credit Card,1272.97,135.5,81.77,1219.24,2025-12-16 22:33,pos_transactions_raw.csv
39,POS000045,2,20240622,C0109,Gift Card,707.58,38.52,69.03,738.09,2025-12-16 22:33,pos_transactions_raw.csv
40,POS000046,21,20240110,C0019,Credit Card,655.33,116.92,62.26,600.67,2025-12-16 22:33,pos_transactions_raw.csv
