return_sk,return_id,product_sk,store_sk,date_sk,quantity_returned,refund_amount,return_reason,return_channel,load_timestamp,source_file
1,RET001451,438,16,20240714,2,26.63,Unknown,POS ,2025-12-16 22:34:33,returns_raw.csv
2,RET001375,216,5,20240203,1,180.41,Size / Fit,POS ,2025-12-16 22:34:33,returns_raw.csv
3,RET002476,43,27,20241025,2,57.77,Late Delivery,ECOM ,2025-12-16 22:34:33,returns_raw.csv
4,RET001459,426,2,20240910,3,89.93,Size / Fit,ECOM ,2025-12-16 22:34:33,returns_raw.csv
5,RET003414,49,25,20240710,2,48.75,Defective,POS ,2025-12-16 22:34:33,returns_raw.csv
6,RET000062,126,17,20240414,2,46.81,Defective,ECOM ,2025-12-16 22:34:33,returns_raw.csv
7,RET004367,345,8,20240819,1,127.3,Defective,POS ,2025-12-16 22:34:33,returns_raw.csv
8,RET001652,459,NULL,20240705,3,104.48,NULL,POS ,2025-12-16 22:34:33,returns_raw.csv
9,RET003351,115,16,20240127,1,181.73,Changed Mind,ECOM ,2025-12-16 22:34:33,returns_raw.csv
10,RET001799,157,14,20241007,1,54.09,Damaged,POS ,2025-12-16 22:34:33,returns_raw.csv
11,RET001155,8,13,20240107,3,160.3,Late Delivery,POS ,2025-12-16 22:34:33,returns_raw.csv
12,RET004377,120,23,20240324,3,59.57,Size / Fit,POS ,2025-12-16 22:34:33,returns_raw.csv
13,RET004344,428,12,20240512,3,32.78,Changed Mind,ECOM ,2025-12-16 22:34:33,returns_raw.csv
14,RET003645,43,5,20240131,3,153.66,Late Delivery,ECOM ,2025-12-16 22:34:33,returns_raw.csv
15,RET002035,386,NULL,20240509,1,66.39,Defective,ECOM ,2025-12-16 22:34:33,returns_raw.csv
16,RET003769,498,18,20240807,1,79.88,Defective,POS ,2025-12-16 22:34:33,returns_raw.csv
17,RET002566,488,19,20240805,1,91.19,Damaged,ECOM ,2025-12-16 22:34:33,returns_raw.csv
18,RET001592,71,24,20241022,1,150.49,Size / Fit,POS ,2025-12-16 22:34:33,returns_raw.csv
19,RET003010,434,3,20240305,1,184.53,Damaged,ECOM ,2025-12-16 22:34:33,returns_raw.csv
20,RET000665,271,6,20241215,3,15.44,Size / Fit,POS ,2025-12-16 22:34:33,returns_raw.csv
21,RET000672,71,NULL,20241111,1,105.3,Late Delivery,POS ,2025-12-16 22:34:33,returns_raw.csv
22,RET000106,145,11,20240827,1,85.51,Changed Mind,ECOM ,2025-12-16 22:34:33,returns_raw.csv
23,RET004784,173,27,20240704,2,82.02,Damaged,POS ,2025-12-16 22:34:33,returns_raw.csv
24,RET000238,236,20,20240824,3,99.18,Defective,POS ,2025-12-16 22:34:33,returns_raw.csv
25,RET000682,259,10,20241124,1,90.36,Changed Mind,POS ,2025-12-16 22:34:33,returns_raw.csv
26,RET003825,395,1,20241003,1,75.95,Defective,ECOM ,2025-12-16 22:34:33,returns_raw.csv
27,RET001929,457,10,20240515,3,159.2,Size / Fit,ECOM ,2025-12-16 22:34:33,returns_raw.csv
28,RET002046,39,10,20240905,2,19.1,Size / Fit,ECOM ,2025-12-16 22:34:33,returns_raw.csv
29,RET002272,20,29,20241217,3,119.75,Changed Mind,ECOM ,2025-12-16 22:34:33,returns_raw.csv
30,RET002273,244,10,20240430,2,121.02,Damaged,ECOM ,2025-12-16 22:34:33,returns_raw.csv
31,RET001249,135,3,20240614,2,172.44,Size / Fit,POS ,2025-12-16 22:34:33,returns_raw.csv
32,RET001033,408,2,20240918,2,20.63,Defective,POS ,2025-12-16 22:34:33,returns_raw.csv
33,RET004090,208,3,20241130,2,25.15,Late Delivery,POS ,2025-12-16 22:34:33,returns_raw.csv
34,RET002759,358,21,20241206,1,111.09,Changed Mind,ECOM ,2025-12-16 22:34:33,returns_raw.csv
35,RET000606,128,13,20240111,2,146.36,Late Delivery,POS ,2025-12-16 22:34:33,returns_raw.csv
36,RET003865,246,14,20240504,3,57.96,Late Delivery,POS ,2025-12-16 22:34:33,returns_raw.csv
37,RET003691,266,21,20240107,3,70.68,Size / Fit,POS ,2025-12-16 22:34:33,returns_raw.csv
38,RET000791,282,23,20241015,1,29.78,Changed Mind,POS ,2025-12-16 22:34:33,returns_raw.csv
39,RET004177,436,28,20241121,1,120.32,Changed Mind,POS ,2025-12-16 22:34:33,returns_raw.csv
40,RET001598,299,25,20240425,3,193.84,Changed Mind,POS ,2025-12-16 22:34:33,returns_raw.csv
