sales_item_sk,source_system,transaction_id,product_sk,store_sk,date_sk,quantity,unit_price,line_revenue,load_timestamp,source_file
1,POS,POS004369,333,23,20240110,2,134.9,269.8,2025-12-16 22:33:44,pos_order_items_raw.csv
2,POS,POS004372,298,8,20240622,1,88.46,88.46,2025-12-16 22:33:44,pos_order_items_raw.csv
3,POS,POS004372,375,8,20240622,4,146.54,586.16,2025-12-16 22:33:44,pos_order_items_raw.csv
4,POS,POS004373,247,7,20240106,5,37.29,186.45,2025-12-16 22:33:44,pos_order_items_raw.csv
5,POS,POS004373,150,7,20240106,2,65.69,131.38,2025-12-16 22:33:44,pos_order_items_raw.csv
6,POS,POS004373,284,7,20240106,1,17.11,17.11,2025-12-16 22:33:44,pos_order_items_raw.csv
7,POS,POS004374,327,16,20240718,3,146.53,439.59,2025-12-16 22:33:44,pos_order_items_raw.csv
8,POS,POS004374,156,16,20240718,5,79.74,398.7,2025-12-16 22:33:44,pos_order_items_raw.csv
9,POS,POS004374,253,16,20240718,3,73.95,221.85,2025-12-16 22:33:44,pos_order_items_raw.csv
10,POS,POS004376,431,25,20240811,4,85.42,341.68,2025-12-16 22:33:44,pos_order_items_raw.csv
11,POS,POS004376,212,25,20240811,5,54.26,271.3,2025-12-16 22:33:44,pos_order_items_raw.csv
12,POS,POS004376,267,25,20240811,4,42.87,171.48,2025-12-16 22:33:44,pos_order_items_raw.csv
13,POS,POS004377,353,18,20240329,3,62.46,187.38,2025-12-16 22:33:44,pos_order_items_raw.csv
14,POS,POS004377,53,18,20240329,2,76.16,152.32,2025-12-16 22:33:44,pos_order_items_raw.csv
15,POS,POS004377,444,18,20240329,2,92.63,185.26,2025-12-16 22:33:44,pos_order_items_raw.csv
16,POS,POS004377,219,18,20240329,1,122.47,122.47,2025-12-16 22:33:44,pos_order_items_raw.csv
17,POS,POS004378,389,2,20240129,3,138.48,415.44,2025-12-16 22:33:44,pos_order_items_raw.csv
18,POS,POS004378,295,2,20240129,1,48.31,48.31,2025-12-16 22:33:44,pos_order_items_raw.csv
19,POS,POS004381,219,11,20241106,2,115.77,231.54,2025-12-16 22:33:44,pos_order_items_raw.csv
20,POS,POS004381,98,11,20241106,1,47.32,47.32,2025-12-16 22:33:44,pos_order_items_raw.csv
21,POS,POS004382,397,17,20240102,2,25.96,51.92,2025-12-16 22:33:44,pos_order_items_raw.csv
22,POS,POS004382,50,17,20240102,5,67.51,337.55,2025-12-16 22:33:44,pos_order_items_raw.csv
23,POS,POS004382,10,17,20240102,4,79.74,318.96,2025-12-16 22:33:44,pos_order_items_raw.csv
24,POS,POS004383,249,3,20240410,2,117.49,234.98,2025-12-16 22:33:44,pos_order_items_raw.csv
25,POS,POS004383,449,3,20240410,4,95.27,381.08,2025-12-16 22:33:44,pos_order_items_raw.csv
26,POS,POS004383,191,3,20240410,2,63.6,127.2,2025-12-16 22:33:44,pos_order_items_raw.csv
27,POS,POS004384,264,24,20240902,1,59.82,59.82,2025-12-16 22:33:44,pos_order_items_raw.csv
28,POS,POS004384,333,24,20240902,1,106.1,106.1,2025-12-16 22:33:44,pos_order_items_raw.csv
29,POS,POS004384,149,24,20240902,1,53.93,53.93,2025-12-16 22:33:44,pos_order_items_raw.csv
30,POS,POS004384,424,24,20240902,3,139.34,418.02,2025-12-16 22:33:44,pos_order_items_raw.csv
31,POS,POS004385,213,19,20240524,2,143.36,286.72,2025-12-16 22:33:44,pos_order_items_raw.csv
32,POS,POS004385,307,19,20240524,3,40.48,121.44,2025-12-16 22:33:44,pos_order_items_raw.csv
33,POS,POS004385,352,19,20240524,4,132.29,529.16,2025-12-16 22:33:44,pos_order_items_raw.csv
34,POS,POS004387,471,4,20241004,5,136.74,683.7,2025-12-16 22:33:44,pos_order_items_raw.csv
35,POS,POS004387,48,4,20241004,2,135.59,271.18,2025-12-16 22:33:44,pos_order_items_raw.csv
36,POS,POS004387,25,4,20241004,5,112.34,561.7,2025-12-16 22:33:44,pos_order_items_raw.csv
37,POS,POS004388,52,4,20241202,2,69.67,139.34,2025-12-16 22:33:44,pos_order_items_raw.csv
38,POS,POS004388,493,4,20241202,4,77.76,311.04,2025-12-16 22:33:44,pos_order_items_raw.csv
39,POS,POS004388,133,4,20241202,2,17.39,34.78,2025-12-16 22:33:44,pos_order_items_raw.csv
40,POS,POS004390,284,18,20241211,2,126.55,253.1,2025-12-16 22:33:44,pos_order_items_raw.csv
